"index","probe.id","gene.id"
10430,"200981_x_at","GNAS"
10431,"200982_s_at","ANXA6"
10432,"200983_x_at","CD59"
10433,"200984_s_at","CD59"
10434,"200985_s_at","CD59"
10435,"200986_at","SERPING1"
10436,"200987_x_at","PSME3"
10437,"200988_s_at","PSME3"
10438,"200989_at","HIF1A"
10439,"200990_at","TRIM28"
10440,"200991_s_at","SNX17"
10441,"200992_at","IPO7"
10442,"200993_at","IPO7"
10443,"200994_at","IPO7"
10444,"200995_at","IPO7"
10445,"200996_at","ACTR3"
10446,"200997_at","RBM4"
10447,"200998_s_at","CKAP4"
10448,"200999_s_at","CKAP4"
10449,"201000_at","AARS1"
10450,"201001_s_at","UBE2V1"
10451,"201002_s_at","PEDS1-UBE2V1"
10452,"201003_x_at","PEDS1-UBE2V1"
10453,"201004_at","SSR4"
10454,"201005_at","CD9"
10455,"201006_at","PRDX2"
10456,"201007_at","HADHB"
10457,"201008_s_at","TXNIP"
10458,"201009_s_at","TXNIP"
10459,"201010_s_at","TXNIP"
10460,"201011_at","RPN1"
10461,"201012_at","ANXA1"
10462,"201013_s_at","PAICS"
10463,"201014_s_at","PAICS"
10464,"201015_s_at","JUP"
10465,"201016_at","EIF1AX"
10466,"201017_at","EIF1AX"
10467,"201018_at","EIF1AX"
10468,"201019_s_at","EIF1AX"
10469,"201020_at","YWHAH"
10470,"201021_s_at","DSTN"
10471,"201022_s_at","DSTN"
10472,"201023_at","TAF7"
10473,"201024_x_at","EIF5B"
10474,"201025_at","EIF5B"
10475,"201026_at","EIF5B"
10476,"201027_s_at","EIF5B"
10477,"201028_s_at","CD99"
10478,"201029_s_at","CD99"
10479,"201030_x_at","LDHB"
10480,"201031_s_at","HNRNPH1"
10481,"201032_at","BLCAP"
10482,"201033_x_at","RPLP0"
10483,"201034_at","ADD3"
10484,"201035_s_at","HADH"
10485,"201036_s_at","HADH"
10486,"201037_at","PFKP"
10487,"201038_s_at","ANP32A"
10488,"201039_s_at","RAD23A"
10489,"201040_at","GNAI2"
10490,"201041_s_at","DUSP1"
10491,"201042_at","TGM2"
10492,"201043_s_at","ANP32A"
10493,"201044_x_at","DUSP1"
10494,"201045_s_at","RAB6A"
10495,"201046_s_at","RAD23A"
